代號,名稱,2025 Q3,2025 Q2,2025 Q1,2024 Q4,2024 Q3,2024 Q2,2024 Q1,2023 Q4,2023 Q3,2023 Q2,2023 Q1
6850,光鼎生技,-,AI1,-,-,-,-,-,-,-,-,-
6902,GOGOLOOK,-,AI1,AI1,-,-,-,-,-,-,-,-
6918,愛派司,-,AI1,AI1,-,-,-,-,-,-,-,-
6925,意藍,-,AI2,AI2,-,-,-,-,-,-,-,-
6962,奕力-KY,-,-,AI1,-,-,-,-,-,-,-,-
6996,力領科技,-,AI2,AI2,AI2,AI2,AI2,AI2,AI2,-,AI2,-
6997,博弘,-,AI1,AI1,-,-,-,-,-,-,-,-
7547,碩網,-,AI1,AI1,-,-,-,-,-,-,-,-
7703,銳澤,-,AI1,AI1,-,-,-,-,-,-,-,-
7704,明遠精密,-,AI1,AI1,-,-,-,-,-,-,-,-
7705,三商餐飲,-,AI1,AI1,-,-,-,-,-,-,-,-
7708,全家餐飲,-,AI1,AI1,-,-,-,-,-,-,-,-
7709,榮田,-,AI2,AI2,-,-,-,-,-,-,-,-
7712,博盛半導體,-,AI1,AI1,-,-,-,-,-,-,-,-
7713,威力德生醫,-,AI1,AI1,-,-,-,-,-,-,-,-
7722,LINEPAY,-,AI1,AI1,-,-,-,-,-,-,-,-
7728,光焱科技,-,AI1,AI1,-,-,-,-,-,-,-,-
7732,金興精密,-,-,AI1,-,-,-,-,-,-,-,-
7734,印能科技,-,AI1,AI1,-,-,-,-,-,-,-,-
7736,虎山,-,AI1,AI1,-,-,-,-,-,-,-,-
7737,凱鈿,-,AI1,-,-,-,-,-,-,-,-,-
7747,昕奇雲端,-,AI1,AI1,-,-,-,-,-,-,-,-
7749,意騰-KY,-,-,AI1,-,-,-,-,-,-,-,-
7765,中華資安,-,-,AI2,AI2,-,AI2,-,AI2,-,-,-
7769,鴻勁,-,AI1,AI1,-,-,-,-,-,-,-,-
7794,宏碁智新,-,-,-,-,-,-,-,-,-,-,-
7805,威聯通,-,AI1,AI1,-,-,-,-,-,-,-,-
8016,矽創,-,AI1,AI1,-,-,-,-,-,-,-,-
8045,達運光電,-,AI1,AI1,-,-,-,-,-,-,-,-
8272,全景軟體,-,AI2,AI2,AI2,AI2,AI2,AI2,-,-,-,-
8299,群聯,-,-,AI1,AI1/AI3,AI1,AI1,AI1,AI1/AI3,AI1,AI1,AI1
8454,富邦媒,-,AI1,AI1,-,-,-,-,-,-,-,-
9914,美利達,-,AI1,AI1,-,-,-,-,-,-,-,-
9917,中保科,-,AI1,AI1,-,-,-,-,-,-,-,-
9921,巨大,-,AI1,AI1,-,-,-,-,-,-,-,-
